Phase,Dataset,Algorithm,Vectorization,Fold 0,Fold 1,Fold 2,Fold 3,Fold 4,Average
Overall,FNFC,DNN,TF-IDF,0.8654390934844193,0.8647308781869688,0.8477337110481586,0.8654390934844193,0.8682719546742209,0.8623229461756374
Stage 1,FNFC,GRU,TF-IDF,0.8803116147308782,0.8881019830028328,0.8703966005665722,0.8852691218130312,0.8803116147308782,0.8808781869688385
Stage 2,FNFC,GRU,TF-IDF,0.7669902912621359,0.6941747572815534,0.7330097087378641,0.7572815533980582,0.6941747572815534,0.729126213592233
Overall,FNFC,GRU,TF-IDF,0.8647308781869688,0.8696883852691218,0.8590651558073654,0.8689801699716714,0.8611898016997167,0.8647308781869688
Stage 1,FNFC,LSTM,TF-IDF,0.8760623229461756,0.8881019830028328,0.8682719546742209,0.8873937677053825,0.8831444759206799,0.8805949008498584
Stage 2,FNFC,LSTM,TF-IDF,0.7475728155339806,0.6893203883495146,0.7378640776699029,0.7766990291262136,0.6893203883495146,0.7281553398058253
Overall,FNFC,LSTM,TF-IDF,0.8590651558073654,0.8682719546742209,0.8548158640226629,0.8725212464589235,0.8654390934844193,0.8640226628895185
Stage 1,FNFC,BiCNN,SBERT,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125
Stage 2,FNFC,BiCNN,SBERT,0.23786407766990292,0.23786407766990292,0.23786407766990292,0.23300970873786409,0.23300970873786409,0.2359223300970874
Overall,FNFC,BiCNN,SBERT,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125
Stage 1,FNFC,BiLSTM,SBERT,0.8810198300283286,0.9121813031161473,0.8902266288951841,0.9050991501416431,0.9107648725212465,0.8998583569405099
Stage 2,FNFC,BiLSTM,SBERT,0.7475728155339806,0.6796116504854369,0.7718446601941747,0.7475728155339806,0.7233009708737864,0.7339805825242719
Overall,FNFC,BiLSTM,SBERT,0.863314447592068,0.8817280453257791,0.8781869688385269,0.8881019830028328,0.8902266288951841,0.8803116147308782
Stage 1,FNFC,CNN,SBERT,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125
Stage 2,FNFC,CNN,SBERT,0.23786407766990292,0.23786407766990292,0.23786407766990292,0.23300970873786409,0.23300970873786409,0.2359223300970874
Overall,FNFC,CNN,SBERT,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125
Stage 1,FNFC,DNN,SBERT,0.8739376770538244,0.8987252124645893,0.8944759206798867,0.9093484419263456,0.9022662889518414,0.8957507082152973
Stage 2,FNFC,DNN,SBERT,0.6844660194174758,0.6067961165048543,0.6796116504854369,0.6553398058252428,0.6553398058252428,0.6563106796116505
Overall,FNFC,DNN,SBERT,0.8498583569405099,0.8640226628895185,0.8739376770538244,0.8810198300283286,0.876770538243626,0.8691218130311615
Stage 1,FNFC,GRU,SBERT,0.8895184135977338,0.9143059490084986,0.8916430594900849,0.9008498583569405,0.9114730878186968,0.901558073654391
Stage 2,FNFC,GRU,SBERT,0.7038834951456311,0.6747572815533981,0.7330097087378641,0.7330097087378641,0.7135922330097088,0.7116504854368932
Overall,FNFC,GRU,SBERT,0.8718130311614731,0.8845609065155807,0.8746458923512748,0.8831444759206799,0.8881019830028328,0.8804532577903682
Stage 1,FNFC,LSTM,SBERT,0.886685552407932,0.9185552407932012,0.8888101983002833,0.9058073654390935,0.9093484419263456,0.901841359773371
Stage 2,FNFC,LSTM,SBERT,0.7475728155339806,0.6699029126213593,0.7524271844660194,0.7621359223300971,0.7135922330097088,0.729126213592233
Overall,FNFC,LSTM,SBERT,0.8703966005665722,0.8895184135977338,0.8725212464589235,0.8888101983002833,0.8852691218130312,0.8813031161473088
Stage 1,FNFC,BiCNN,BERT,0.8555240793201133,0.8541076487252125,0.8541076487252125,0.8555240793201133,0.8498583569405099,0.8538243626062323
Stage 2,FNFC,BiCNN,BERT,0.28640776699029125,0.23786407766990292,0.24757281553398058,0.2961165048543689,0.2766990291262136,0.2689320388349515
Overall,FNFC,BiCNN,BERT,0.8519830028328612,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8427762039660056,0.8514164305949009
Stage 1,FNFC,BiLSTM,BERT,0.8810198300283286,0.9036827195467422,0.8873937677053825,0.9093484419263456,0.9008498583569405,0.8964589235127478
Stage 2,FNFC,BiLSTM,BERT,0.7087378640776699,0.6456310679611651,0.6893203883495146,0.7233009708737864,0.6650485436893204,0.6864077669902913
Overall,FNFC,BiLSTM,BERT,0.8576487252124646,0.8696883852691218,0.8746458923512748,0.8923512747875354,0.8781869688385269,0.8745042492917847
Stage 1,FNFC,CNN,BERT,0.8541076487252125,0.8541076487252125,0.853399433427762,0.8541076487252125,0.8548158640226629,0.8541076487252125
Stage 2,FNFC,CNN,BERT,0.27184466019417475,0.24271844660194175,0.24271844660194175,0.2912621359223301,0.27184466019417475,0.2640776699029126
Overall,FNFC,CNN,BERT,0.8541076487252125,0.8541076487252125,0.853399433427762,0.8541076487252125,0.8541076487252125,0.8539660056657224
Stage 1,FNFC,DNN,BERT,0.8406515580736544,0.8852691218130312,0.8781869688385269,0.8958923512747875,0.8796033994334278,0.8759206798866854
Stage 2,FNFC,DNN,BERT,0.6116504854368932,0.5485436893203883,0.6067961165048543,0.616504854368932,0.6116504854368932,0.5990291262135923
Overall,FNFC,DNN,BERT,0.8080736543909348,0.8420679886685553,0.8526912181303116,0.8654390934844193,0.8526912181303116,0.8441926345609065
Stage 1,FNFC,GRU,BERT,0.8831444759206799,0.9022662889518414,0.8838526912181303,0.9058073654390935,0.9079320113314447,0.896600566572238
Stage 2,FNFC,GRU,BERT,0.6553398058252428,0.6359223300970874,0.6844660194174758,0.7087378640776699,0.6456310679611651,0.6660194174757282
Overall,FNFC,GRU,BERT,0.8626062322946175,0.8718130311614731,0.8711048158640227,0.8852691218130312,0.8781869688385269,0.8737960339943343
Stage 1,FNFC,LSTM,BERT,0.9022662889518414,0.9050991501416431,0.8923512747875354,0.9072237960339944,0.9015580736543909,0.9016997167138812
Stage 2,FNFC,LSTM,BERT,0.6893203883495146,0.6310679611650486,0.7135922330097088,0.7184466019417476,0.6941747572815534,0.6893203883495146
Overall,FNFC,LSTM,BERT,0.8803116147308782,0.873229461756374,0.8788951841359773,0.8888101983002833,0.8803116147308782,0.8803116147308782
Stage 1,FNFC,BiCNN,MPNet,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125
Stage 2,FNFC,BiCNN,MPNet,0.23786407766990292,0.23786407766990292,0.23786407766990292,0.23300970873786409,0.23300970873786409,0.2359223300970874
Overall,FNFC,BiCNN,MPNet,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125
Stage 1,FNFC,BiLSTM,MPNet,0.8980169971671388,0.9079320113314447,0.9072237960339944,0.9029745042492918,0.9022662889518414,0.9036827195467423
Stage 2,FNFC,BiLSTM,MPNet,0.7475728155339806,0.6893203883495146,0.7475728155339806,0.7766990291262136,0.7475728155339806,0.741747572815534
Overall,FNFC,BiLSTM,MPNet,0.8838526912181303,0.886685552407932,0.8909348441926346,0.8881019830028328,0.8852691218130312,0.8869688385269121
Stage 1,FNFC,CNN,MPNet,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125
Stage 2,FNFC,CNN,MPNet,0.23786407766990292,0.23786407766990292,0.23786407766990292,0.23300970873786409,0.23300970873786409,0.2359223300970874
Overall,FNFC,CNN,MPNet,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125,0.8541076487252125
Stage 1,FNFC,DNN,MPNet,0.8937677053824362,0.9015580736543909,0.9008498583569405,0.9093484419263456,0.8973087818696884,0.9005665722379603
Stage 2,FNFC,DNN,MPNet,0.6699029126213593,0.6359223300970874,0.6504854368932039,0.6407766990291263,0.6699029126213593,0.6533980582524272
Overall,FNFC,DNN,MPNet,0.873229461756374,0.8696883852691218,0.8788951841359773,0.8803116147308782,0.8718130311614731,0.8747875354107648
Stage 1,FNFC,GRU,MPNet,0.8944759206798867,0.9079320113314447,0.9001416430594901,0.9043909348441926,0.8973087818696884,0.9008498583569405
Stage 2,FNFC,GRU,MPNet,0.7038834951456311,0.6893203883495146,0.7572815533980582,0.7669902912621359,0.7524271844660194,0.7339805825242719
Overall,FNFC,GRU,MPNet,0.873229461756374,0.8852691218130312,0.8831444759206799,0.886685552407932,0.8781869688385269,0.8813031161473088
Stage 1,FNFC,LSTM,MPNet,0.8902266288951841,0.9128895184135978,0.8958923512747875,0.8916430594900849,0.9058073654390935,0.8992917847025496
Stage 2,FNFC,LSTM,MPNet,0.7427184466019418,0.6941747572815534,0.7524271844660194,0.7766990291262136,0.7330097087378641,0.7398058252427184
Overall,FNFC,LSTM,MPNet,0.8725212464589235,0.8902266288951841,0.8781869688385269,0.8718130311614731,0.8873937677053825,0.880028328611898
Stage 1,FNFC,BiCNN,GloVe,0.8555240793201133,0.8512747875354107,0.8541076487252125,0.853399433427762,0.8491501416430595,0.8526912181303116
Stage 2,FNFC,BiCNN,GloVe,0.24271844660194175,0.2524271844660194,0.2669902912621359,0.23300970873786409,0.23786407766990292,0.2466019417475728
